Year|Month|Day|Time|End Year|End Month|End Day|End Time|Display Date|Headline|Text|Media|Media Credit|Media Caption|Media Thumbnail|Alt Text|Type|Group|Background
1937 |  |  |  | 1939 |  |  |  | 1937-1939 | Social Welfare Initiatives Under Congress | <h3>Event Summary</h3><p>Congress ministries implemented various social welfare initiatives focusing on Harijan welfare, education, public health, and economic development.</p><h4>Key Details</h4><ul><li>Implemented Harijan welfare measures including temple entry, public facilities access, and scholarships</li><li>Increased Harijan representation in government services and police</li><li>Focused on primary/technical/higher education</li><li>Improved public health and sanitation</li><li>Promoted khadi through subsidies</li><li>Encouraged indigenous enterprises</li><li>Implemented prison reforms</li></ul> |  |  |  |  |  |  | Socio-Religious Reforms |
1938 |  |  |  |  |  |  |  |  | Formation of National Planning Committee | <h3>Event Summary</h3><p>The National Planning Committee was established under Subhas Chandra Bose to plan economic development.</p><h4>Key Details</h4><ul><li>Formed in 1938</li><li>Led by Subhas Chandra Bose</li><li>Aimed at planning national development</li></ul> |  |  |  |  |  |  | Economic Policies |
1938 |  |  |  |  |  |  |  |  | Bombay Traders Disputes Act | <h3>Event Summary</h3><p>Congress passed the anti-labor Bombay Traders Disputes Act in 1938.</p><h4>Key Details</h4><ul><li>Considered anti-labor legislation</li><li>Reflected Congress's shift toward capitalists and away from labor interests</li></ul> |  |  |  |  |  |  | Economic Policies |
1938 |  |  |  |  |  |  |  |  | Pirpur Committee Report | <h3>Event Summary</h3><p>The All India Muslim League established the Pirpur Committee which documented alleged Congress atrocities against Muslims.</p><h4>Key Details</h4><ul><li>Formed in 1938</li><li>Charged Congress with religious interference</li><li>Claimed Urdu suppression</li><li>Alleged Hindu favoritism</li><li>Claimed Muslim marginalization in representation and economy</li></ul><h4>Significance</h4><p>This report reflected growing tensions between the Muslim League and Congress, with the League being annoyed with Congress for not sharing power.</p> |  |  |  |  |  |  | Freedom Movement |
1939 |  |  |  |  |  |  |  |  | Resignation of Congress Ministries | <h3>Event Summary</h3><p>Congress ministries resigned after the outbreak of World War II in 1939.</p><h4>Key Details</h4><ul><li>Resignation followed power struggles within Congress</li><li>Directly connected to the outbreak of World War II</li></ul> |  |  |  |  |  |  | Freedom Movement |
1938 | | | | | | | | | Subhash Bose Elected President at Haripura | <h3>Event Summary</h3><p>Subhash Chandra Bose was elected president of the Indian National Congress at the Haripura session.</p><h4>Key Details</h4><ul><li>Bose advocated economic development through planning</li><li>He set up a National Planning Committee later</li><li>He supported agitation against princely states</li></ul><h4>Significance</h4><p>This marked Bose's rise to a position of national leadership within the Congress.</p> | | | | | | | Nationalist Leaders
1939 | | | | | | | | | Bose Re-elected Congress President Against Gandhi's Candidate | <h3>Event Summary</h3><p>Subhash Chandra Bose won the Congress presidency again, defeating Gandhi's preferred candidate.</p><h4>Key Details</h4><ul><li>Gandhi stated "Pattabhi's defeat is my defeat"</li><li>Ideological polarization intensified within Congress</li><li>The Working Committee resigned after Bose accused them of being ready to compromise with the government on federation matters</li></ul><h4>Significance</h4><p>This election highlighted the growing ideological divide within the Congress leadership.</p> | | | | | | | Nationalist Leaders
1939 | 3 | | | | | | | March 1939 | Bose Calls for Six-Month Ultimatum to British at Tripuri | <h3>Event Summary</h3><p>At the Tripuri session, Subhash Chandra Bose called for a six-month ultimatum to be given to the British.</p><h4>Key Details</h4><ul><li>Bose argued that Congress was strong, masses were ready, and the international crisis (WWII) was favorable</li><li>Gandhi opposed the ultimatum, citing unreadiness, communal discord, and class strife</li><li>A resolution was passed supporting the Gandhian approach</li></ul><h4>Significance</h4><p>This confrontation represented a fundamental ideological divide between immediate radical action (Bose) versus preparation (Gandhi).</p> | | | | | | | Freedom Movement
1939 | 4 | | | | | | | April 1939 | Bose Resigns as Congress President | <h3>Event Summary</h3><p>Subhash Chandra Bose resigned from the presidency of the Indian National Congress.</p><h4>Key Details</h4><ul><li>Rajendra Prasad was elected as the new president</li><li>This followed the Tripuri confrontation where Gandhi's approach was endorsed over Bose's</li></ul> | | | | | | | Nationalist Leaders
1939 | 5 | | | | | | | May 1939 | Bose Forms Forward Bloc within Congress | <h3>Event Summary</h3><p>Subhash Chandra Bose formed the Forward Bloc as a faction within the Indian National Congress.</p><h4>Key Details</h4><ul><li>This followed his resignation as Congress president in April</li><li>The Forward Bloc represented Bose's more radical approach to the independence struggle</li></ul> | | | | | | | Freedom Movement
1939 | 8 | | | | | | | August 1939 | Bose Removed from Bengal Provincial Congress Committee Leadership | <h3>Event Summary</h3><p>Subhash Chandra Bose was removed from leadership of the Bengal Provincial Congress Committee.</p><h4>Key Details</h4><ul><li>He was also barred from holding office</li><li>This action followed his formation of the Forward Bloc within Congress</li></ul> | | | | | | | Nationalist Leaders
1939 | 9 | 1 | | | | | | September 1, 1939 | Germany Attacks Poland, Starting World War II | <h3>Event Summary</h3><p>Germany attacked Poland on September 1, 1939, marking the beginning of World War II.</p><h4>Key Details</h4><ul><li>Britain declared war on Germany on September 3</li><li>British India declared support for the war without Indian consultation</li></ul> | | | | | | | British
1939 | 10 | 23 | | | | | | October 23, 1939 | Congress Working Committee Rejects Viceregal Statement | <h3>Event Summary</h3><p>The Congress Working Committee rejected the Viceroy's statement as imperialist policy.</p><h4>Key Details</h4><ul><li>The CWC decided not to support the war effort</li><li>Called for Congress ministries to resign in provinces</li></ul> | | | | | | | Freedom Movement
1939 | 11 | | | | | | | November 1939 | CWC Resolution Declares War Fought for Imperialist Ends | <h3>Event Summary</h3><p>The Congress Working Committee passed a resolution declaring that World War II was being fought for imperialist ends like World War I.</p><h4>Key Details</h4><ul><li>The resolution demanded independence for India</li><li>It also called for a constituent assembly</li></ul> | | | | | | | Freedom Movement
1940 | | | | | | | | | Linlithgow Declares Dominion Status as Goal of British Policy | <h3>Event Summary</h3><p>Viceroy Linlithgow declared that the goal of British policy in India was Dominion status after the war.</p><h4>Key Details</h4><ul><li>This was a limited concession that fell short of the independence demanded by Congress</li></ul> | | | | | | | British
1940 | 3 | | | | | | | March 1940 | Ramgarh Congress Session | <h3>Event Summary</h3><p>The Indian National Congress held its session at Ramgarh in March 1940.</p><h4>Key Details</h4><ul><li>Internal disagreement between Gandhi's cooperation and Nehru/Bose's militancy was evident</li><li>Congress demanded complete independence, not dominion status</li><li>It was decided that civil disobedience would begin when the organization was ready</li></ul> | | | | | | | Freedom Movement
1940 | 3 | | | | | | | March 1940 | Muslim League Passes Pakistan Resolution at Lahore | <h3>Event Summary</h3><p>The Muslim League passed the Pakistan Resolution at Lahore in March 1940.</p><h4>Key Details</h4><ul><li>The resolution called for independent Muslim-majority states</li><li>This marked a formal demand for partition</li></ul><h4>Significance</h4><p>This resolution was a blueprint for the eventual partition of India.</p> | | | | | | | Partition & Independence
1940 | 8 | | | | | | | August 1940 | August Offer by British Government | <h3>Event Summary</h3><p>The British government made constitutional proposals known as the August Offer.</p><h4>Key Details</h4><ul><li>Proposed dominion status for India</li><li>Offered Indian-majority in viceroy's executive council</li><li>Promised post-war constituent assembly</li><li>Stipulated no constitution without minorities consent</li></ul><h4>Significance</h4><p>This was the first recognition of Indians' right to frame their own constitution, and the Congress demand for a constituent assembly was conceded.</p> | | | | | | | Constitutional Development
1940 | | | | 1941 | 5 | | | 1940-May 1941 | Individual Satyagraha Campaign | <h3>Event Summary</h3><p>Gandhi initiated a limited civil disobedience campaign against participation in the war.</p><h4>Key Details</h4><ul><li>Aimed to show that nationalist patience was not weakness</li><li>Expressed disinterest in the war</li><li>Gave the government opportunity to accept demands</li><li>25,000 people were convicted by May 1941</li><li>The movement evolved into "Delhi Chalo Movement"</li></ul> | | | | | | | Freedom Movement
1941 | 7 | | | | | | | July 1941 | Viceroy's Executive Council Expanded with Indian Majority | <h3>Event Summary</h3><p>The Viceroy's executive council was expanded to include an Indian majority.</p><h4>Key Details</h4><ul><li>8 out of 12 members were now Indian</li><li>This was a concession following the August Offer of 1940</li></ul> | | | | | | | Constitutional Development
1941 | 12 | | | | | | | December 1941 | Congress Leaders Released After Japan's Attack | <h3>Event Summary</h3><p>Congress leaders were released from imprisonment following Japan's attack in World War II.</p><h4>Key Details</h4><ul><li>The CWC passed a resolution to cooperate in defense if full independence was promised after war and substantial power was immediately transferred</li><li>This resolution was passed over Gandhi and Nehru's objections</li></ul> | | | | | | | British
1942 | 3 | | | | | | | March 1942 | Cripps Mission to India | <h3>Event Summary</h3><p>Stafford Cripps was sent to India with constitutional proposals seeking Indian support for the war effort.</p><h4>Key Details</h4><ul><li>Proposed dominion status and freedom to determine international relations</li><li>Offered a constituent assembly with partly elected, partly prince-nominated members</li><li>Included provisions for provinces to opt out of the Indian Union</li><li>Kept defense temporarily under British control</li></ul><h4>Significance</h4><p>The mission failed as Congress rejected the proposals for various reasons including the lack of immediate power transfer. Gandhi called the scheme a "post-dated cheque." The provincial secession option provided a blueprint for partition.</p> | | | | | | | Constitutional Development
